"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 26 11:45:12 GMT 2025","Sun Oct 26 11:45:13 GMT 2025","1400","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Oct 26 11:45:18 GMT 2025","Sun Oct 26 11:45:22 GMT 2025","3575","LMS system","Courses","Courses","","","Edit course",""
"passed","Sun Oct 26 11:45:15 GMT 2025","Sun Oct 26 11:45:16 GMT 2025","1633","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Sun Oct 26 11:45:18 GMT 2025","Sun Oct 26 11:45:21 GMT 2025","2903","LMS system","Courses","Courses","","","Create course",""
"passed","Sun Oct 26 11:45:13 GMT 2025","Sun Oct 26 11:45:15 GMT 2025","1403","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Sun Oct 26 11:45:09 GMT 2025","Sun Oct 26 11:45:11 GMT 2025","1845","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Oct 26 11:45:09 GMT 2025","Sun Oct 26 11:45:11 GMT 2025","1783","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Oct 26 11:45:22 GMT 2025","Sun Oct 26 11:45:23 GMT 2025","1563","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Sun Oct 26 11:45:16 GMT 2025","Sun Oct 26 11:45:18 GMT 2025","1375","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Sun Oct 26 11:45:12 GMT 2025","Sun Oct 26 11:45:14 GMT 2025","2766","LMS system","Authentication","Authorization","","","User login with correct email and password",""
